15.02.2020 04:40:15: 22h 14min | Donnie Turbo(76561198041233395) | Deleting d3s_challenger_15_CPU @034011..
15.02.2020 04:40:25: 22h 14min | Nino Marino(76561198206026112) | spawning Tarjeta de seguridad (pop_tarjeta_s)
15.02.2020 04:40:26: 22h 14min | Nino Marino(76561198206026112) | spawning Tarjeta de seguridad 2 (pop_tarjeta_s2)
15.02.2020 04:40:27: 22h 14min | Nino Marino(76561198206026112) | spawning Tarjeta de seguridad 2 (pop_tarjeta_s2)
15.02.2020 04:42:15: 22h 16min | Donnie Turbo(76561198041233395) | spawning Offroad (Comms) (C_Offroad_01_comms_F)
15.02.2020 04:42:24: 22h 16min | Nino Marino(76561198206026112) | spawning RT-1523G (ASIP) Green (tf_rt1523g_green)
15.02.2020 04:42:27: 22h 16min | Nino Marino(76561198206026112) | spawning MR6000L (tf_mr6000l)
15.02.2020 04:42:28: 22h 16min | Nino Marino(76561198206026112) | spawning AN/ARC-164 (tf_anarc164)
15.02.2020 04:42:30: 22h 16min | Nino Marino(76561198206026112) | spawning AN/ARC-210 (tf_anarc210)
15.02.2020 04:42:30: 22h 16min | Nino Marino(76561198206026112) | spawning Assault Pack Bussole (tf_bussole)
15.02.2020 04:43:12: 22h 17min | Donnie Turbo(76561198041233395) | Deleting C_Offroad_01_comms_F @034011..
15.02.2020 04:43:30: 22h 17min | Sherman(76561198038112694) | Teleport to [4959.19,1871.53,0](GPS: 049987)
15.02.2020 04:44:18: 22h 18min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Sherman(76561198038112694) - C_man_1
15.02.2020 04:44:39: 22h 18min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @034011..
15.02.2020 04:44:40: 22h 18min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @034011..
15.02.2020 04:44:41: 22h 18min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @034011..
15.02.2020 04:44:42: 22h 18min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @034011..
15.02.2020 04:44:43: 22h 18min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @034011..
15.02.2020 04:45:11: 22h 19min | Donnie Turbo(76561198041233395) | spawning Concrete ramp (RampConcrete)
15.02.2020 04:45:25: 22h 19min | Sherman(76561198038112694) | unlocked - [d3s_camaro_zl1_1le_18]
15.02.2020 04:46:22: 22h 20min | Sherman(76561198038112694) | Revive - civ_3(76561198043298972)
15.02.2020 04:46:55: 22h 20min | K-12 J Shepard(76561198043298972) | Teleport to [4666.51,2137.12,0](GPS: 046990)
15.02.2020 04:46:57: 22h 21min | Donnie Turbo(76561198041233395) | Deleting RampConcrete @033011..
15.02.2020 04:47:51: 22h 21min | K-12 J Shepard(76561198043298972) | Teleport to [4710.04,2237.61,0](GPS: 047991)
15.02.2020 04:48:03: 22h 22min | K-12 J Shepard(76561198043298972) | Teleport to [4665.64,2141.28,0](GPS: 046990)
15.02.2020 04:51:05: 22h 25min | Sherman(76561198038112694) | Teleport to [3402.48,4134.95,0](GPS: 034010)
15.02.2020 04:51:35: 22h 25min | K-12 J Shepard(76561198043298972) | Teleport to [5556.42,4323.18,0](GPS: 055012)
15.02.2020 04:51:59: 22h 26min | K-12 J Shepard(76561198043298972) | Teleport to [3411.02,4166.59,0](GPS: 034010)
15.02.2020 04:52:35: 22h 26min | Sherman(76561198038112694) | Teleport to [4665.84,2138.69,0](GPS: 046990)
15.02.2020 04:52:41: 22h 26min | K-12 J Shepard(76561198043298972) | Teleport to [4667.04,2140.02,0](GPS: 046990)
15.02.2020 04:52:42: 22h 26min | Sherman(76561198038112694) | Teleport - Target To Me - Nino Marino [CIV](76561198206026112)
15.02.2020 04:52:45: 22h 26min | Sherman(76561198038112694) | Teleport - Target To Me - Donnie Turbo [CIV](76561198041233395)
15.02.2020 04:53:59: 22h 28min | K-12 J Shepard(76561198043298972) | Teleport to [4013.91,2407.72,0](GPS: 040993)
15.02.2020 04:54:02: 22h 28min | K-12 J Shepard(76561198043298972) | Teleport to [4018.69,2424.29,0](GPS: 040993)
15.02.2020 04:54:04: 22h 28min | K-12 J Shepard(76561198043298972) | Teleport to [4061.07,2476.87,0](GPS: 040994)
15.02.2020 04:54:27: 22h 28min | K-12 J Shepard(76561198043298972) | Teleport to [3965.97,5253.22,0](GPS: 039021)
15.02.2020 04:55:58: 22h 30min | K-12 J Shepard(76561198043298972) | Teleport to [4667.56,2142.14,0](GPS: 046990)
15.02.2020 04:56:01: 22h 30min | Sherman(76561198038112694) | Deleting GroundWeaponHolder @046990..
15.02.2020 04:57:38: 22h 31min | Nino Marino(76561198206026112) | Teleport to [3124.86,5082.41,0](GPS: 031020)
15.02.2020 04:58:33: 22h 32min | Sherman(76561198038112694) | HealRepairNear
15.02.2020 04:59:13: 22h 33min | K-12 J Shepard(76561198043298972) | Teleport to [3136.48,5060.29,0](GPS: 031019)
15.02.2020 04:59:19: 22h 33min | Sherman(76561198038112694) | Teleport to [3127.45,5050.17,0](GPS: 031019)
15.02.2020 04:59:38: 22h 33min | Donnie Turbo(76561198041233395) | Teleport to [3515.74,3018.7,0](GPS: 035999)
15.02.2020 04:59:45: 22h 33min | Sherman(76561198038112694) | Deleting GroundWeaponHolder @031019..
15.02.2020 05:02:42: 22h 36min | Sherman(76561198038112694) | Teleport to [3342.73,3248.8,0](GPS: 033001)
15.02.2020 05:03:03: 22h 37min | K-12 J Shepard(76561198043298972) | SPECTATE - switchedCamera on K-12 J Shepard(76561198043298972) - C_man_1
15.02.2020 05:03:05: 22h 37min | K-12 J Shepard(76561198043298972) | SPECTATE - switchedCamera on K-12 J Shepard(76561198043298972) - C_man_1
15.02.2020 05:03:43: 22h 37min | K-12 J Shepard(76561198043298972) | SPECTATE - switchedCamera on Sherman(76561198038112694) - C_man_1
15.02.2020 05:03:48: 22h 37min | Sherman(76561198038112694) | Added 5 titaniums to Sherman!
15.02.2020 05:03:59: 22h 38min | K-12 J Shepard(76561198043298972) | SPECTATE - switchedCamera on K-12 J Shepard(76561198043298972) - C_man_1
15.02.2020 05:04:00: 22h 38min | Sherman(76561198038112694) | Added 1 gunframes to Sherman!
15.02.2020 05:04:01: 22h 38min | K-12 J Shepard(76561198043298972) | SPECTATE - switchedCamera on K-12 J Shepard(76561198043298972) - C_man_1
15.02.2020 05:04:07: 22h 38min | Sherman(76561198038112694) | Added 1 barrels to Sherman!
15.02.2020 05:04:12: 22h 38min | Nino Marino(76561198206026112) | Teleport to [4776.83,3308.89,0](GPS: 047002)
15.02.2020 05:04:17: 22h 38min | Sherman(76561198038112694) | Added 1 stocks to Sherman!
15.02.2020 05:04:42: 22h 38min | Nino Marino(76561198206026112) | Teleport to [4754.44,3482.43,0](GPS: 047004)
15.02.2020 05:04:56: 22h 38min | Nino Marino(76561198206026112) | Teleport to [5163.08,3210.93,0](GPS: 051001)
15.02.2020 05:10:49: 22h 44min | Nino Marino(76561198206026112) | HealRepairNear
15.02.2020 05:10:56: 22h 45min | Nino Marino(76561198206026112) | Teleport to [3435.8,4217.55,0](GPS: 034011)
15.02.2020 05:18:39: 22h 52min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
15.02.2020 05:18:39: 22h 52min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
15.02.2020 05:18:39: 22h 52min | HoyoBani(76561198105940600) | noRecoil - 1
15.02.2020 05:20:19: 22h 54min | HoyoBani(76561198105940600) | SPECTATE - switchedCamera on Nino Marino(76561198206026112) - C_man_1
15.02.2020 05:20:25: 22h 54min | HoyoBani(76561198105940600) | Teleport - Me To Target - Nino Marino [CIV](76561198206026112)
15.02.2020 05:21:07: 22h 55min | HoyoBani(76561198105940600) | Revive - civ_3(76561198043298972)
15.02.2020 05:22:06: 22h 56min | HoyoBani(76561198105940600) | Teleport to [3124.7,5078.94,0](GPS: 031020)
15.02.2020 05:24:17: 22h 58min | K-12 J Shepard(76561198043298972) | Teleport to [5953.82,2514.04,0](GPS: 059994)
15.02.2020 05:24:19: 22h 58min | K-12 J Shepard(76561198043298972) | Teleport to [5925.37,2547.14,0](GPS: 059994)
15.02.2020 05:24:24: 22h 58min | K-12 J Shepard(76561198043298972) | Teleport to [5948.01,2540.75,0](GPS: 059994)
15.02.2020 05:24:27: 22h 58min | K-12 J Shepard(76561198043298972) | Teleport to [5944.53,2534.36,0](GPS: 059994)
15.02.2020 05:25:05: 22h 59min | K-12 J Shepard(76561198043298972) | Teleport to [3971.96,2396.61,0](GPS: 039993)
15.02.2020 05:26:26: 23h 0min | K-12 J Shepard(76561198043298972) | Teleport to [5926.38,2529.28,0](GPS: 059994)
15.02.2020 05:27:00: 23h 1min | K-12 J Shepard(76561198043298972) | Teleport to [3499.36,3026.27,0](GPS: 034999)
15.02.2020 05:28:37: 23h 2min | K-12 J Shepard(76561198043298972) | Teleport to [3513.84,3078.72,0](GPS: 035000)
15.02.2020 05:29:19: 23h 3min | K-12 J Shepard(76561198043298972) | Teleport to [5069.61,1995.12,0](GPS: 050989)
15.02.2020 05:37:21: 23h 11min | HoyoBani(76561198105940600) | AdminConsole
15.02.2020 05:38:29: 23h 12min | HoyoBani(76561198105940600) | Deleting GroundWeaponHolder @031019..
15.02.2020 05:40:14: 23h 14min | HoyoBani(76561198105940600) | AdminConsole
15.02.2020 05:40:42: 23h 14min | HoyoBani(76561198105940600) | Deleting WeaponHolderSimulated @031019..
15.02.2020 05:40:43: 23h 14min | HoyoBani(76561198105940600) | AdminConsole
15.02.2020 05:41:01: 23h 15min | HoyoBani(76561198105940600) | HealSelf
15.02.2020 05:41:04: 23h 15min | HoyoBani(76561198105940600) | AdminConsole
15.02.2020 05:46:14: 23h 20min | HoyoBani(76561198105940600) | Teleport to [3654.63,3242.86,0](GPS: 036001)
15.02.2020 05:48:41: 23h 22min | HoyoBani(76561198105940600) | Revive - civ_1(76561198105940600)
15.02.2020 05:49:00: 23h 23min | K-12 J Shepard(76561198043298972) | Revive - civ_1(76561198105940600)
15.02.2020 05:49:00: 23h 23min | HoyoBani(76561198105940600) | Teleport to [3523.96,3109.71,0](GPS: 035000)
15.02.2020 05:51:43: 23h 25min | K-12 J Shepard(76561198043298972) | Teleport to [-569.035,3566.55,0](GPS: 994004)
15.02.2020 05:51:53: 23h 25min | K-12 J Shepard(76561198043298972) | Teleport to [3600.91,3166.87,0](GPS: 036000)
15.02.2020 05:52:07: 23h 26min | K-12 J Shepard(76561198043298972) | Teleport to [6002.92,3657.23,0](GPS: 060005)
15.02.2020 05:52:34: 23h 26min | HoyoBani(76561198105940600) | Teleport to [3593.62,3174.25,0](GPS: 035001)
15.02.2020 05:53:14: 23h 27min | K-12 J Shepard(76561198043298972) | spawning To-201 Shikra (Stealth) (O_Plane_Fighter_02_Stealth_F)
15.02.2020 05:53:16: 23h 27min | HoyoBani(76561198105940600) | Teleport to [3603.08,3164.64,0](GPS: 036000)
15.02.2020 05:54:28: 23h 28min | HoyoBani(76561198105940600) | Teleport to [6032.76,3601.91,0](GPS: 060005)
15.02.2020 05:54:49: 23h 28min | HoyoBani(76561198105940600) | spawning F/A-181 Black Wasp II (B_Plane_Fighter_01_F)
15.02.2020 05:59:18: 23h 33min | K-12 J Shepard(76561198043298972) | Revive - civ_3(76561198043298972)
15.02.2020 05:59:26: 23h 33min | K-12 J Shepard(76561198043298972) | Teleport to [6004.86,3683.63,0](GPS: 060006)
15.02.2020 06:07:51: 23h 41min | HoyoBani(76561198105940600) | HealSelf
15.02.2020 06:19:33: 0h 4min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
15.02.2020 06:19:33: 0h 4min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
15.02.2020 06:19:33: 0h 4min | HoyoBani(76561198105940600) | noRecoil - 1
15.02.2020 06:19:49: 0h 4min | HoyoBani(76561198105940600) | HealRepairNear
15.02.2020 06:21:16: 0h 5min | HoyoBani(76561198105940600) | Teleport to [3635.87,3152.69,0](GPS: 036000)
15.02.2020 06:21:47: 0h 6min | HoyoBani(76561198105940600) | HealSelf
15.02.2020 06:21:47: 0h 6min | HoyoBani(76561198105940600) | HealRepairNear
15.02.2020 06:23:22: 0h 7min | HoyoBani(76561198105940600) | HealRepairNear
15.02.2020 06:24:09: 0h 8min | HoyoBani(76561198105940600) | HealSelf
15.02.2020 06:25:29: 0h 9min | HoyoBani(76561198105940600) | HealRepairNear
15.02.2020 06:27:37: 0h 12min | HoyoBani(76561198105940600) | Revive - civ_1(76561198105940600)
15.02.2020 06:27:45: 0h 12min | HoyoBani(76561198105940600) | Teleport to [3573.04,3183.64,0](GPS: 035001)
15.02.2020 06:27:56: 0h 12min | HoyoBani(76561198105940600) | Teleport - Me To Target - Nino Marino [CIV](76561198206026112)
15.02.2020 06:40:12: 0h 24min | HoyoBani(76561198105940600) | Added 5 scoobydooBandaids to HoyoBani!
15.02.2020 06:40:18: 0h 24min | HoyoBani(76561198105940600) | Added 5 cuddlesBandaids to HoyoBani!
15.02.2020 06:41:45: 0h 26min | HoyoBani(76561198105940600) | Added 5 bandagess to HoyoBani!
15.02.2020 06:45:02: 0h 29min | HoyoBani(76561198105940600) | Added 2 drPeppers to HoyoBani!
15.02.2020 06:56:16: 0h 2min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
