28.01.2020 02:51:06: 0h 51min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting d3s_explorer_UNM_13 @032009..
28.01.2020 02:51:24: 0h 52min | Boyevik Butch-Mac Volkev(76561198089960350) | Restrain - civ_4(76561198089960350)
28.01.2020 02:51:37: 0h 52min | Boyevik Butch-Mac Volkev(76561198089960350) | Revive - civ_4(76561198089960350)
28.01.2020 02:51:42: 0h 52min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Mike Hutchinson(76561198043298972) - d3s_explorer_UNM_13
28.01.2020 02:51:45: 0h 52min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
28.01.2020 02:51:49: 0h 52min | Boyevik Butch-Mac Volkev(76561198089960350) | Move In Target Vehicle - Mike Hutchinson [WEST](76561198043298972)
28.01.2020 02:51:56: 0h 52min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Wyclef(76561198038112694) - d3s_explorer_UNM_13
28.01.2020 02:51:58: 0h 52min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Wyclef(76561198038112694) - d3s_explorer_UNM_13
28.01.2020 02:52:22: 0h 53min | H̩ctor "Lil Loco" Arturo(76561197999316388) | UnlimAmmo - 1
28.01.2020 03:03:55: 1h 4min | Donnie Turbo(76561198041233395) | Teleport to [3496.29,2997.1,0](GPS: 034999)
28.01.2020 03:04:24: 1h 5min | Boyevik Butch-Mac Volkev(76561198089960350) | unlocked - [V12_HARLEYBOBBER_Rouge]
28.01.2020 03:08:10: 1h 8min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
28.01.2020 03:08:18: 1h 9min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on H̩ctor "Lil Loco" Arturo(76561197999316388) - C_man_1
28.01.2020 03:09:08: 1h 9min | Boyevik Butch-Mac Volkev(76561198089960350) | 50K Cash
28.01.2020 03:11:03: 1h 11min | [1k-40] Jose Santana(76561198206026112) | Teleport - Me To Target - H̩ctor "Lil Loco" Arturo [CIV](76561197999316388)
28.01.2020 03:14:27: 1h 15min | [1k-40] Jose Santana(76561198206026112) | Vehicle Marker - 1
28.01.2020 03:14:31: 1h 15min | [1k-40] Jose Santana(76561198206026112) | Vehicle Marker - 0
